# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       5.950983649866e-04      -7.349827783545e-01      -3.172258017460e+00      -3.172431388678e+00      -6.980180549002e-01      -3.152206960081e+00      -3.171694095455e+00       4.706571940147e-01       4.706614319959e-01 
       6.360802969340e-04      -6.624088161756e-01      -3.622412025303e+00      -3.622629487237e+00      -6.239807959006e-01      -3.596450168279e+00      -3.621726212109e+00       4.704030655408e-01       4.704103786718e-01 
       6.799949238826e-04      -5.875931761457e-01      -4.137536327830e+00      -4.137807902594e+00      -5.493159172858e-01      -4.103899357895e+00      -4.136712221065e+00       4.701221241015e-01       4.701311606772e-01 
       7.270379836287e-04      -5.196799428488e-01      -4.726852603394e+00      -4.727190071632e+00      -4.835845039862e-01      -4.683254175510e+00      -4.725872937519e+00       4.698118518158e-01       4.698212702710e-01 
       7.773933551410e-04      -4.680776566110e-01      -5.400513023741e+00      -5.400929991317e+00      -4.364277785260e-01      -5.344001442457e+00      -5.399358897335e+00       4.694695321669e-01       4.694781503036e-01 
       8.312263594120e-04      -4.398858483851e-01      -6.169541834692e+00      -6.170053713625e+00      -4.148401679401e-01      -6.096325540319e+00      -6.168191077335e+00       4.690922592395e-01       4.690992145026e-01 
       8.886768915222e-04      -4.367604745035e-01      -7.045726785460e+00      -7.046350633536e+00      -4.199045741855e-01      -6.950966093560e+00      -7.044151278858e+00       4.686769830442e-01       4.686818653296e-01 
       9.498529466315e-04      -4.523813564943e-01      -8.041458395840e+00      -8.042212651491e+00      -4.442251086781e-01      -7.919022761601e+00      -8.039620549544e+00       4.682206085542e-01       4.682235165472e-01 
       1.014825171455e-03      -4.722839995452e-01      -9.169521206341e+00      -9.170425261830e+00      -4.719000737218e-01      -9.011713634508e+00      -9.167370171408e+00       4.677201688135e-01       4.677216466359e-01 
       1.083623045666e-03      -4.776775847370e-01      -1.044284702085e+01      -1.044392077243e+01      -4.826899871273e-01      -1.024010046912e+01      -1.044031581336e+01       4.671730441704e-01       4.671738860794e-01 
       1.156233159689e-03      -4.533433270272e-01      -1.187424670372e+01      -1.187551003586e+01      -4.603940388192e-01      -1.161480042998e+01      -1.187125128502e+01       4.665771939506e-01       4.665781587738e-01 
       1.232599820733e-03      -3.968078487889e-01      -1.347614002915e+01      -1.347761249295e+01      -4.024277812822e-01      -1.314570726804e+01      -1.347258092901e+01       4.659313167317e-01       4.659328511024e-01 
       1.312627931360e-03      -3.232230409133e-01      -1.526030522085e+01      -1.526200590086e+01      -3.247725047681e-01      -1.484174568548e+01      -1.525607064271e+01       4.652348994442e-01       4.652369932494e-01 
       1.396187806312e-03      -2.603923419407e-01      -1.723762180902e+01      -1.723956973596e+01      -2.566234574206e-01      -1.671063893211e+01      -1.723259008212e+01       4.644869322348e-01       4.644891893360e-01 
       1.483121383279e-03      -2.334045293225e-01      -1.941800324894e+01      -1.942021797731e+01      -2.243932128358e-01      -1.875886496492e+01      -1.941204160753e+01       4.636886538208e-01       4.636905554844e-01 
       1.573249180082e-03      -2.467597357169e-01      -2.181024732863e+01      -2.181275000972e+01      -2.334140187448e-01      -2.099155872531e+01      -2.180320682648e+01       4.628415890460e-01       4.628428093484e-01 
       1.666377361007e-03      -2.775273191044e-01      -2.442195512040e+01      -2.442477017055e+01      -2.612104912264e-01      -2.341249110378e+01      -2.441366461513e+01       4.619468590333e-01       4.619474436735e-01 
       1.762304376594e-03      -2.886160629148e-01      -2.725955049353e+01      -2.726270732131e+01      -2.712542042396e-01      -2.602414779315e+01      -2.724981433547e+01       4.610058602717e-01       4.610061567322e-01 
       1.860826795684e-03      -2.562106472914e-01      -3.032831976496e+01      -3.033185455696e+01      -2.405540559251e-01      -2.882783134582e+01      -3.031692275340e+01       4.600203683989e-01       4.600207625729e-01 
       1.961744115418e-03      -1.905859582705e-01      -3.363248157378e+01      -3.363643851312e+01      -1.797590179785e-01      -3.182378920122e+01      -3.361919888585e+01       4.589925599003e-01       4.589932141146e-01 
       2.064862483200e-03      -1.302110635654e-01      -3.717527682027e+01      -3.717970912807e+01      -1.261261467198e-01      -3.501135464012e+01      -3.715988241758e+01       4.579249033593e-01       4.579256874796e-01 
       2.169997376979e-03      -1.101408874515e-01      -4.095906879491e+01      -4.096403866455e+01      -1.116769131255e-01      -3.838908664586e+01      -4.094133504722e+01       4.568199473029e-01       4.568205980665e-01 
       2.276975362074e-03      -1.307683590308e-01      -4.498544706567e+01      -4.499102486382e+01      -1.335366932650e-01      -4.195490166464e+01      -4.496513608764e+01       4.556801638938e-01       4.556805237127e-01 
       2.385635078460e-03      -1.570678498696e-01      -4.925532687444e+01      -4.926158987076e+01      -1.556831677820e-01      -4.570618859334e+01      -4.923218152089e+01       4.545079056442e-01       4.545080370760e-01 
       2.495827620632e-03      -1.518210343692e-01      -5.376904300020e+01      -5.377607358477e+01      -1.432483363603e-01      -4.963990612263e+01      -5.374278590785e+01       4.533054807757e-01       4.533055764877e-01 
       2.607416462250e-03      -1.120431807203e-01      -5.852643682608e+01      -5.853432051597e+01      -9.711109613349e-02      -5.375266302548e+01      -5.849677828641e+01       4.520752381538e-01       4.520754323989e-01 
       2.720277057971e-03      -7.145312687586e-02      -6.352692777530e+01      -6.353575157277e+01      -5.306296926476e-02      -5.804077585844e+01      -6.349357418297e+01       4.508195090707e-01       4.508197733042e-01 
       2.834296231266e-03      -6.473062210349e-02      -6.876958613447e+01      -6.877943735340e+01      -4.466093134778e-02      -6.250032182433e+01      -6.873223957371e+01       4.495405557929e-01       4.495407622002e-01 
       2.949371433523e-03      -8.995426037953e-02      -7.425318272784e+01      -7.426414876008e+01      -6.783775391240e-02      -6.712716782489e+01      -7.421153192093e+01       4.482404291244e-01       4.482404976698e-01 
       3.065409938599e-03      -1.098747088564e-01      -7.997624210911e+01      -7.998841114432e+01      -8.557317281401e-02      -7.191700220108e+01      -7.992995464753e+01       4.469210027877e-01       4.469209773093e-01 
       3.182328019170e-03      -9.201216582496e-02      -8.593708662911e+01      -8.595054922417e+01      -6.898091510528e-02      -7.686535994465e+01      -8.588581203491e+01       4.455840537024e-01       4.455840738217e-01 
       3.300050136931e-03      -4.437443199893e-02      -9.213386134875e+01      -9.214871240718e+01      -5.626845415186e-02      -8.196818477307e+01      -9.207724777673e+01       4.442312803702e-01       4.442314363584e-01 
       3.418508167635e-03      -6.788849901686e-03      -9.856457754803e+01      -9.858091913201e+01      -1.074249232388e-01      -8.722099846320e+01      -9.850228012096e+01       4.428643413020e-01       4.428645427830e-01 
