# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       9.326212236469e+13       8.690110304471e-26       4.969479050487e-09       1.876595152775e+22       1.415326394590e+04       1.517579011397e-10       1.319963433983e+18       2.869287569718e-09       2.081614238068e+44       2.021726929111e+33       1.082425955029e+34       4.789892829068e+43       1.596630943023e+43       3.463310090800e-08       9.610058463152e+43       3.521609367419e+44       7.801192152348e-07       1.433565615564e+01 
       9.261382558559e+13       8.812197664138e-26       5.004039849155e-09       1.850596127776e+22       1.415326394590e+04       1.528202064477e-10       1.310787918553e+18       2.889372582706e-09       2.024334923495e+44       1.979858188899e+33       1.060009569088e+34       4.658090416733e+43       1.552696805578e+43       3.463310090800e-08       9.345620628460e+43       3.424706028140e+44       8.581311367582e-07       1.303241468694e+01 
       9.197003533823e+13       8.936000229121e-26       5.040419637226e-09       1.824957302632e+22       1.415326394590e+04       1.538899478928e-10       1.301676185256e+18       2.909598190785e-09       1.968631751041e+44       1.938856524938e+33       1.038057412923e+34       4.529914781972e+43       1.509971593991e+43       3.463310090800e-08       9.088459270668e+43       3.330469156429e+44       9.361430582816e-07       1.194638012970e+01 
       9.133072029615e+13       9.061542096340e-26       5.074980435893e-09       1.799673687003e+22       1.415326394590e+04       1.549671775281e-10       1.292627790721e+18       2.929965378120e-09       1.914461350357e+44       1.898703980605e+33       1.016559872617e+34       4.405266127557e+43       1.468422042519e+43       3.463310090800e-08       8.838374164585e+43       3.238825379692e+44       1.014154979805e-06       1.102742781203e+01 
       9.069584935070e+13       9.188847701251e-26       5.109541234560e-09       1.774740359690e+22       1.415326394590e+04       1.560519477708e-10       1.283642294658e+18       2.950475135767e-09       1.861781544502e+44       1.859382971146e+33       9.955075333504e+33       4.284047402355e+43       1.428015800785e+43       3.463310090800e-08       8.595170594571e+43       3.149703344313e+44       1.092166901328e-06       1.023975439688e+01 
       9.006539160943e+13       9.317941822606e-26       5.145921022631e-09       1.750152467672e+22       1.415326394590e+04       1.571443114052e-10       1.274719259839e+18       2.971128461717e-09       1.810551317112e+44       1.820876275977e+33       9.748911752791e+33       4.166164225771e+43       1.388721408590e+43       3.463310090800e-08       8.358659202934e+43       3.063033660099e+44       1.170178822852e-06       9.557104103757e+00 
       8.943931639467e+13       9.448849587272e-26       5.182300810702e-09       1.725905225164e+22       1.415326394590e+04       1.582443215850e-10       1.265858252075e+18       2.991926360949e-09       1.760730780460e+44       1.783167031143e+33       9.547017694968e+33       4.051524814257e+43       1.350508271419e+43       3.463310090800e-08       8.128655842494e+43       2.978748846248e+44       1.248190744375e-06       8.959785097272e+00 
       8.881759324197e+13       9.581596475123e-26       5.218680598773e-09       1.701993912685e+22       1.415326394590e+04       1.593520318361e-10       1.257058840193e+18       3.012869845476e-09       1.712281144399e+44       1.746238721931e+33       9.349304740803e+33       3.940039909853e+43       1.313346636618e+43       3.463310090800e-08       7.904981433208e+43       2.896783278816e+44       1.326202665899e-06       8.432738915079e+00 
       8.820019189868e+13       9.716208324002e-26       5.255060386844e-09       1.678413876139e+22       1.415326394590e+04       1.604674960590e-10       1.248320596021e+18       3.033959934394e-09       1.665164686165e+44       1.710075175636e+33       9.155686302170e+33       3.831622710690e+43       1.277207570230e+43       3.463310090800e-08       7.687461822740e+43       2.817073139617e+44       1.404214587422e-06       7.964253419797e+00 
       8.758708232243e+13       9.852711334745e-26       5.291440174915e-09       1.655160525911e+22       1.415326394590e+04       1.615907685314e-10       1.239643094361e+18       3.055197653934e-09       1.619344721000e+44       1.674660554482e+33       8.966077584134e+33       3.726188803409e+43       1.242062934470e+43       3.463310090800e-08       7.475927650864e+43       2.739556366534e+44       1.482226508945e-06       7.545082187175e+00 
